,main_token,groups,cluster_info
56,ecash,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
57,maker,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
58,bittorrent-new,"FIL,BTT,AR,HOT","{'filesharing': 1.0, 'distributed-computing': 1.0, 'storage': 1.0, 'web3': 0.75, 'platform': 0.5, 'bnb-chain': 0.5}"
59,the graph,GRT,{}
60,bitcoin sv,"BTC,BSV","{'store-of-value': 1.0, 'state-channel': 1.0, 'pow': 1.0, 'mineable': 1.0, 'sha-256': 1.0}"
61,convex finance,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
62,neo,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX","{'smart-contracts': 1.0, 'platform': 1.0, 'mineable': 0.42857142857142855, 'enterprise-solutions': 0.2857142857142857, 'research': 0.2857142857142857, 'pos': 0.2857142857142857, 'bnb-chain': 0.2857142857142857}"
63,stacks,"AVAX,NEAR,ATOM,FTM,STX","{'injective-ecosystem': 1.0, 'platform': 0.8, 'bnb-chain': 0.8, 'smart-contracts': 0.6, 'defi': 0.6}"
64,huobi token,"FTT,LEO,KCS,HT,OKB","{'centralized-exchange': 1.0, 'marketplace': 1.0, 'discount-token': 0.8, 'algorand-ecosystem': 0.4, 'payments': 0.4}"
65,zilliqa,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX","{'smart-contracts': 1.0, 'platform': 1.0, 'mineable': 0.42857142857142855, 'enterprise-solutions': 0.2857142857142857, 'research': 0.2857142857142857, 'pos': 0.2857142857142857, 'bnb-chain': 0.2857142857142857}"
66,harmony,"MATIC,ONE","{'platform': 1.0, 'binance-launchpad': 1.0, 'enterprise-solutions': 1.0, 'injective-ecosystem': 1.0, 'bnb-chain': 1.0, 'scaling': 1.0}"
67,kusama,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
68,trueusd,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP","{'stablecoin': 1.0, 'bnb-chain': 1.0, 'usd-stablecoin': 1.0, 'asset-backed-stablecoin': 0.625, 'moonriver-ecosystem': 0.5, 'arbitrum-ecosytem': 0.5, 'avalanche-ecosystem': 0.375, 'fantom-ecosystem': 0.25, 'harmony-ecosystem': 0.25, 'injective-ecosystem': 0.25, 'defi': 0.25, 'store-of-value': 0.25}"
69,gala,"APE,MANA,SAND,AXS,GALA,ENJ","{'collectibles-nfts': 1.0, 'gaming': 1.0, 'metaverse': 0.8333333333333334, 'play-to-earn': 0.6666666666666666, 'ethereum-ecosystem': 0.3333333333333333, 'content-creation': 0.3333333333333333, 'polygon-ecosystem': 0.3333333333333333, 'binance-launchpad': 0.3333333333333333}"
70,chiliz,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
71,nexo,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
72,celo,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
73,quant,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
74,enjin coin,"APE,MANA,SAND,AXS,GALA,ENJ","{'collectibles-nfts': 1.0, 'gaming': 1.0, 'metaverse': 0.8333333333333334, 'play-to-earn': 0.6666666666666666, 'ethereum-ecosystem': 0.3333333333333333, 'content-creation': 0.3333333333333333, 'polygon-ecosystem': 0.3333333333333333, 'binance-launchpad': 0.3333333333333333}"
75,loopring,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
76,curve dao token,"UNI,CAKE,AAVE,CRV,KNC","{'governance': 1.0, 'defi': 1.0, 'yield-farming': 0.8, 'decentralized-exchange': 0.8, 'dao': 0.8, 'amm': 0.8, 'parafi-capital': 0.6, 'bnb-chain': 0.6, 'arbitrum-ecosytem': 0.4, 'polygon-ecosystem': 0.4, 'fantom-ecosystem': 0.4}"
77,okb,"FTT,LEO,KCS,HT,OKB","{'centralized-exchange': 1.0, 'marketplace': 1.0, 'discount-token': 0.8, 'algorand-ecosystem': 0.4, 'payments': 0.4}"
78,basic attention token,BAT,{}
79,dash,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR","{'mineable': 0.8888888888888888, 'medium-of-exchange': 0.7777777777777778, 'bnb-chain': 0.6666666666666666, 'pow': 0.6666666666666666, 'privacy': 0.3333333333333333, 'scrypt': 0.2222222222222222, 'smart-contracts': 0.2222222222222222, 'hybrid-pow-pos': 0.2222222222222222, 'dao': 0.2222222222222222, 'binance-chain': 0.2222222222222222}"
80,mina,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
81,neutrino usd,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP","{'stablecoin': 1.0, 'bnb-chain': 1.0, 'usd-stablecoin': 1.0, 'asset-backed-stablecoin': 0.625, 'moonriver-ecosystem': 0.5, 'arbitrum-ecosytem': 0.5, 'avalanche-ecosystem': 0.375, 'fantom-ecosystem': 0.25, 'harmony-ecosystem': 0.25, 'injective-ecosystem': 0.25, 'defi': 0.25, 'store-of-value': 0.25}"
82,arweave,"FIL,BTT,AR,HOT","{'filesharing': 1.0, 'distributed-computing': 1.0, 'storage': 1.0, 'web3': 0.75, 'platform': 0.5, 'bnb-chain': 0.5}"
83,amp,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
84,pax dollar,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP","{'stablecoin': 1.0, 'bnb-chain': 1.0, 'usd-stablecoin': 1.0, 'asset-backed-stablecoin': 0.625, 'moonriver-ecosystem': 0.5, 'arbitrum-ecosytem': 0.5, 'avalanche-ecosystem': 0.375, 'fantom-ecosystem': 0.25, 'harmony-ecosystem': 0.25, 'injective-ecosystem': 0.25, 'defi': 0.25, 'store-of-value': 0.25}"
85,compound,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
86,kyber network crystal v2,"UNI,CAKE,AAVE,CRV,KNC","{'governance': 1.0, 'defi': 1.0, 'yield-farming': 0.8, 'decentralized-exchange': 0.8, 'dao': 0.8, 'amm': 0.8, 'parafi-capital': 0.6, 'bnb-chain': 0.6, 'arbitrum-ecosytem': 0.4, 'polygon-ecosystem': 0.4, 'fantom-ecosystem': 0.4}"
87,theta fuel,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
88,decred,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR","{'mineable': 0.8888888888888888, 'medium-of-exchange': 0.7777777777777778, 'bnb-chain': 0.6666666666666666, 'pow': 0.6666666666666666, 'privacy': 0.3333333333333333, 'scrypt': 0.2222222222222222, 'smart-contracts': 0.2222222222222222, 'hybrid-pow-pos': 0.2222222222222222, 'dao': 0.2222222222222222, 'binance-chain': 0.2222222222222222}"
89,kadena,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX","{'smart-contracts': 1.0, 'platform': 1.0, 'mineable': 0.42857142857142855, 'enterprise-solutions': 0.2857142857142857, 'research': 0.2857142857142857, 'pos': 0.2857142857142857, 'bnb-chain': 0.2857142857142857}"
90,moonbeam,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
91,nem,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
92,kava,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
93,holo,"FIL,BTT,AR,HOT","{'filesharing': 1.0, 'distributed-computing': 1.0, 'storage': 1.0, 'web3': 0.75, 'platform': 0.5, 'bnb-chain': 0.5}"
94,oasis network,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
95,secret,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
96,0x,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
97,audius,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
98,icon,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX","{'smart-contracts': 1.0, 'platform': 1.0, 'mineable': 0.42857142857142855, 'enterprise-solutions': 0.2857142857142857, 'research': 0.2857142857142857, 'pos': 0.2857142857142857, 'bnb-chain': 0.2857142857142857}"
99,iotex,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
